#Name Ra Dec Flux[V] maj_ax min_ax
NGC180 9.490445000000001 8.635209444444444 -- 1.133 0.793
NGC181 9.596736666666667 29.472496944444444 -- 0.783 0.204
NGC182 9.551579166666667 2.7285069444444447 -- 1.057 0.634
NGC183 9.622459583333333 29.511137777777776 -- 0.777 0.652
NGC184 9.649156666666666 29.4475775 -- 0.54 0.227
NGC185 9.741416666666666 48.33750972222222 9.2 11.48 9.55
NGC186 9.605417083333334 3.1664108333333334 -- 0.96 0.538
NGC187 9.876748333333333 -14.6564025 -- 1.093 0.437
NGC188 11.797916666666667 85.24388888888889 -- 32.6 32.6
NGC189 9.885 61.09 8.8 9.5 9.5
NGC190 9.727879999999999 7.06272 -- 0.843 0.573
NGC191 9.747653333333332 -9.002577777777777 -- 1.087 0.891
NGC192 9.805833333333332 0.8641666666666666 -- 1.35 0.54
NGC193 9.827449166666668 3.3312791666666666 -- 1.207 0.869
NGC194 9.8267375 3.037444444444444 -- 0.96 0.883
NGC195 9.8991475 -9.194508333333333 13.45 0.723 0.448
NGC196 9.824343333333335 0.9127697222222222 -- 0.743 0.52
NGC197 9.828306249999999 0.891968611111111 -- 0.437 0.323
NGC198 9.845760833333333 2.797914722222222 -- 0.877 0.859
NGC199 9.888153333333333 3.1385630555555557 -- 0.603 0.459
NGC200 9.895266666666668 2.8873805555555556 -- 1.33 0.612
NGC201 9.89520375 0.8599683333333333 -- 0.98 0.686
NGC202 9.916095833333335 3.5363369444444444 -- 0.777 0.28
NGC203 9.91472125 3.442898888888889 -- 0.713 0.285
NGC204 9.9344575 3.2995655555555556 -- 0.89 0.641
NGC205 10.091904999999999 41.68541861111111 8.07 18.62 10.47
NGC206 10.140833333333333 40.739444444444445 -- -- --
NGC207 9.919658333333334 -14.237077777777777 -- 0.493 0.266
NGC208 10.073316666666667 2.7563127777777776 -- 0.463 0.436
NGC209 9.764946250000001 -18.608259722222222 -- 0.557 0.456
NGC210 10.145802916666668 -13.8727775 -- 5.01 3.09
NGC212 10.055552083333334 -56.15307305555555 -- 0.647 0.582
NGC213 10.2916725 16.469295 -- 0.73 0.555
NGC214 10.366765416666667 25.499398055555556 -- 1.22 0.83
NGC215 10.203680833333333 -56.21418138888889 -- 0.713 0.585
NGC216 10.362020833333332 -21.04802777777778 13.12 1.227 0.368
NGC217 10.391221666666667 -10.021407777777778 12.1 2.177 0.522
NGC218 10.435929166666668 36.35958055555556 -- 0.32 0.224
NGC219 10.54713625 0.904555 -- 0.403 0.315
NGC220 10.233166666666666 -73.40280555555556 14.39 1.2 1.2
NGC221 10.67427 40.86517 8.08 -- --
