#Name Ra Dec Flux[V] maj_ax min_ax
IC398 74.55224999927 -7.780472332889999 -- 1.083 0.347
IC399 75.43358518547 -4.288699735569999 14.800000190734863 0.313 0.295
IC401 76.08177023481 -10.076625160509998 -- 1.11 0.4
IC402 76.56191642678 -9.10725590775 -- 0.587 0.563
IC404 78.33165091029 9.75496261884 -- 0.73 0.526
IC405 79.35 34.38333333333333 -- -- --
IC407 79.42763836658 -15.52339464835 -- 1.173 0.329
IC409 79.89018208333333 3.3176725 -- 0.7 0.504
IC410 80.5 33.483333333333334 -- -- --
IC411 80.07755557934 -25.32450830924 -- 0.74 0.562
IC412 80.48625 3.4863899999999997 -- 1.23 0.74
IC414 80.47905833333333 3.3420666666666667 14.399999618530273 0.497 0.308
IC416 80.98500707766 -17.26043266265 -- 0.727 0.392
IC417 82.0125 34.41166666666667 -- 2.4333334 3.75
IC418 81.86752480565 -12.69730063549 9.010000228881836 0.26287332 0.261415
IC419 82.75 30.15 -- -- --
IC420 83.05833333333332 -4.52 -- -- --
IC421 83.03563179261 -7.91812890623 -- 1.147 1.009
IC422 83.0772876445 -17.22389529336 -- 0.627 0.564
IC423 83.33749999999999 -0.6333333333333333 -- 6.0 3.5
IC424 83.40833333333333 -0.41333333333333333 -- -- --
IC425 84.5 32.4 -- -- --
IC426 84.11666666666666 -0.27666666666666667 -- 6.0 3.5
IC427 83.975 -6.216666666666667 -- -- --
IC428 84.10089208333333 -6.451567222222223 -- -- --
IC429 84.57499999999999 -7.05 -- -- --
IC430 84.576 -7.040611111111112 -- -- --
IC431 85.25 -1.6 -- -- --
IC432 85.2375 -1.5083333333333333 -- -- --
IC433 85.13063521437 -11.6655617331 -- 0.717 0.659
IC434 85.25 -2.5 -- -- --
IC435 85.75208333333333 -2.3125 -- -- --
IC438 88.25033080517 -17.876125318870002 -- 1.113 0.779
IC439 89.15 32.03333333333333 -- -- --
IC440 94.80531919676 80.06843160797 -- 0.807 0.71
IC441 90.67784313445 -12.49920754933 -- 0.553 0.476
IC442 99.05191792823001 82.96912436402 -- 0.777 0.746
IC443 94.25 22.5699996948 -- 45.0 25.0
IC444 94.64166666666667 23.313333333333333 -- -- --
IC445 99.3384942483 67.85992306669 -- 0.593 0.463
IC448 98.5 7.3 -- -- --
IC449 101.42155498628 71.34385468143 -- 0.89 0.73
